sample	group	stage	n_events	rc	wall_s	maxrss_kb
mcp2k	g9	imaging	16	0	102.0	957048.0
mcp2k	g9	clus+QL	16	0	63.0	545868.0
mcp2k	g90	imaging	16	0	119.0	949908.0
mcp2k	g90	clus+QL	16	0	119.0	497496.0
mcp2k	g91	imaging	16	0	121.0	952336.0
mcp2k	g91	clus+QL	16	0	123.0	537124.0
mcp2k	g92	imaging	16	0	120.0	951956.0
mcp2k	g92	clus+QL	16	0	120.0	598248.0
mcp2k	g93	imaging	16	0	113.0	952376.0
mcp2k	g93	clus+QL	16	0	120.0	483236.0
mcp2k	g94	imaging	16	0	122.0	953452.0
mcp2k	g94	clus+QL	16	0	117.0	481940.0
mcp2k	g95	imaging	16	0	131.0	955636.0
mcp2k	g95	clus+QL	16	0	88.0	516368.0
mcp2k	g96	imaging	16	0	126.0	950028.0
mcp2k	g96	clus+QL	16	0	77.0	528916.0
mcp2k	g97	imaging	16	0	120.0	954800.0
mcp2k	g97	clus+QL	16	0	67.0	509596.0
mcp2k	g98	imaging	16	0	115.0	951264.0
mcp2k	g98	clus+QL	16	0	65.0	472296.0
mcp2k	g99	imaging	16	0	121.0	972616.0
mcp2k	g99	clus+QL	16	0	74.0	521036.0
