arm	cid	ident	apa	face	nnew	norig	ncomp	ncomp_ss	nsup	legacy_rm	run_rm	nruns	maxrun_cm
029107_1_d07bbum	34	34	0	0	940	476	113	113	435	419	32	22	26.4
029107_1_d07bbum	36	36	0	0	1245	1039	46	46	926	249	0	14	4.5
029107_1_d07bbum	36	36	2	0	63	58	3	3	61	0	0	2	0.0
029107_1_d07bbum	37	37	0	0	3483	2115	348	348	1936	947	172	180	107.9
029107_1_d07bbum	39	39	0	0	853	764	64	64	767	73	0	12	0.6
029107_1_d07bbum	39	39	2	0	624	514	36	36	470	87	0	42	15.7
029107_1_d07bbum	40	40	0	0	709	762	25	25	581	58	0	62	3.7
029107_1_d07bbum	40	40	2	0	177	140	6	6	103	15	0	10	16.0
029107_1_d07bbum	42	42	2	0	435	16	6	6	22	18	324	4	100.8
029107_1_d07bbum	45	45	2	0	29	14	1	1	17	0	0	1	3.9
029107_1_d07bbum	46	46	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	48	48	2	0	7	7	1	1	7	0	0	0	0.0
029107_1_d07bbum	50	50	2	0	630	413	42	42	354	187	0	60	6.5
029107_1_d07bbum	53	53	2	0	6	6	1	1	6	0	0	0	0.0
029107_1_d07bbum	54	54	2	0	16	17	1	1	16	0	0	0	0.0
029107_1_d07bbum	56	56	2	0	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	57	57	0	0	19	15	1	1	16	0	0	2	0.3
029107_1_d07bbum	58	58	1	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	60	60	1	1	2	2	1	1	2	0	0	0	0.0
029107_1_d07bbum	62	62	1	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	63	63	3	1	8	5	1	1	6	0	0	1	0.4
029107_1_d07bbum	64	64	3	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	65	65	3	1	5	5	1	1	5	0	0	0	0.0
029107_1_d07bbum	66	66	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	67	67	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	68	68	3	1	6	6	1	1	6	0	0	0	0.0
029107_1_d07bbum	69	69	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	70	70	1	1	17	12	2	2	14	0	0	2	0.5
029107_1_d07bbum	71	71	1	1	16	16	1	1	16	0	0	0	0.0
029107_1_d07bbum	72	72	3	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	73	73	3	1	117	113	2	2	110	1	0	6	0.0
029107_1_d07bbum	75	75	1	1	1906	1248	139	139	1041	735	0	37	6.5
029107_1_d07bbum	76	76	1	1	1169	567	104	104	480	509	0	47	18.3
029107_1_d07bbum	76	76	3	1	283	239	12	12	208	46	0	4	8.3
029107_1_d07bbum	77	77	1	1	827	392	84	84	363	393	0	45	7.9
029107_1_d07bbum	77	77	3	1	555	434	47	47	407	102	0	28	19.2
029107_1_d07bbum	79	79	1	1	794	564	40	40	519	139	0	57	10.6
029107_1_d07bbum	79	79	3	1	333	323	13	13	268	23	0	20	10.3
029107_1_d07bbum	80	80	1	1	153	152	6	6	136	6	0	10	0.4
029107_1_d07bbum	80	80	3	1	2179	956	197	197	1087	743	98	67	162.4
029107_1_d07bbum	82	82	1	1	628	508	32	32	467	142	0	7	2.3
029107_1_d07bbum	83	83	1	1	878	421	99	99	387	433	0	48	2.1
029107_1_d07bbum	83	83	3	1	2203	816	253	253	845	916	178	75	32.2
029107_1_d07bbum	84	84	1	1	272	296	12	12	241	15	0	12	11.3
029107_1_d07bbum	85	85	1	1	213	172	8	8	173	11	0	25	0.9
029107_1_d07bbum	86	86	1	1	602	589	9	9	553	24	0	10	2.9
029107_1_d07bbum	88	88	1	1	764	675	23	23	639	88	0	16	5.1
029107_1_d07bbum	90	90	1	1	3	3	1	1	3	0	0	0	0.0
029107_1_d07bbum	92	92	1	1	4	4	1	1	4	0	0	0	0.0
029107_1_d07bbum	95	95	1	1	152	156	1	1	148	0	0	2	0.9
029107_1_d07bbum	97	97	3	1	734	652	60	60	551	124	0	25	8.7
029107_1_d07bbum	98	98	1	1	31	27	1	1	27	0	0	4	0.0
029107_1_d07bbum	98	98	3	1	1564	678	81	81	608	691	215	50	139.1
029107_1_d07bbum	99	99	3	1	145	68	6	6	53	7	21	23	25.5
029107_1_d07bbum	100	100	3	1	9	6	1	1	8	0	0	1	0.0
029107_1_d07bbum	101	101	3	1	315	282	15	15	251	39	0	21	1.6
029107_1_d07bbum	104	104	3	1	323	282	8	8	266	22	0	16	4.5
029107_1_d07bbum	106	106	3	1	6	6	1	1	6	0	0	0	0.0
029107_1_d07bbum	107	107	3	1	185	171	2	2	169	0	0	14	0.4
029107_1_d07bbum	109	109	1	1	9	9	1	1	9	0	0	0	0.0
029107_1_d07bbum	110	110	0	0	954	741	95	95	680	207	0	48	4.1
029107_1_d07bbum	110	110	2	0	87	75	2	2	79	3	0	2	1.8
029107_1_d07bbum	110	110	3	1	3004	432	290	290	421	1274	1155	81	126.8
029107_1_d07bbum	111	111	0	0	587	465	20	20	410	153	0	21	1.4
029107_1_d07bbum	111	111	1	1	1002	439	70	70	403	524	0	37	6.5
029107_1_d07bbum	111	111	3	1	607	414	51	51	379	134	49	25	46.2
029107_1_d07bbum	112	112	0	0	976	409	46	46	380	249	331	15	104.0
029107_1_d07bbum	112	112	1	1	1179	699	51	51	598	167	331	48	104.1
